id	occurrences	surface_count	surfaces	texts
DST_CLIENT_VERSION	4	2	lang0,taiwan	taiwan:local_data.dat:版本 %d.%d | taiwan:local_sync_data.dat:Ver. | lang0:lang0.pak: | lang0:lang0.pak:Ver.
DST_HOIPOIMIX_RECIPE_FILTER_EVENT	4	2	lang0,taiwan	taiwan:local_data.dat:活動 | taiwan:local_data.dat:Events | lang0:lang0.pak:Events | lang0:lang0.pak:Event
DST_DIALOG_RESET	3	2	lang0,taiwan	taiwan:local_data.dat:For now, you can only have 10 Resets. | lang0:lang0.pak:The reset limit for now is 10. | lang0:lang0.pak:For now, you can only have 10 Resets.
DST_ITEM_CAN_NOT_MOVE_ERROR_PACKET_SEND	3	2	lang0,taiwan	taiwan:local_data.dat:網路錯誤，請稍候重試。 | lang0:lang0.pak:Network Error, Try Again Later | lang0:lang0.pak:Title Status/Effect has been setted.
AIR_CANNOT_FLY_JUMP_NOT_ENOUGH_AP	2	2	lang0,taiwan	taiwan:local_sync_data.dat:飞行需要至少10AP。 | lang0:lang0.pak:Flight requires at least 10AP.
AIR_CANNOT_USE_ITEM_NO_HAVE_AIR_SKILL	2	2	lang0,taiwan	taiwan:local_sync_data.dat:你需要飞行能力来使用这个。 | lang0:lang0.pak:You need the flight ability to use that.
AIR_FAIL	2	2	lang0,taiwan	taiwan:local_sync_data.dat:Air mode failed. | lang0:lang0.pak:Air mode failed.
AUTH_AUTHKEY_FAIL	2	2	lang0,taiwan	"taiwan:local_sync_data.dat:[align = ""center""][font size = ""12"" color=""f4d762""]认证确认[/font][br][br][font size = ""10"" color=""f36a7c""]认证失败。[/font] | lang0:lang0.pak:[align = ""center""][font size = ""12"" color=""f4d762""]Authentication Confirmation[/font][br][br][font size = ""10"" color=""f36a7c""]Authentication failed.[/font]"
AUTH_COMMON_CANT_DO_THAT_FOR_SOME_REASON	2	2	lang0,taiwan	taiwan:local_sync_data.dat:目前无法处理。 | lang0:lang0.pak:Not able to process at the moment.
AUTH_DB_FAIL	2	2	lang0,taiwan	"taiwan:local_sync_data.dat:[align = ""center""][font size = ""12"" color= ""f4d762""]DB连接[/font][br][br][font size = ""10"" color= ""f36a7c""]加载数据失败，请稍后再试。 [/font] | lang0:lang0.pak:[align = ""center""][font size = ""12"" color=""f4d762""]DB Connection[/font][br][br][font size = ""10"" color=""f36a7c""]Failed to load data, please try again later.[/font]"
AUTH_FAIL	2	2	lang0,taiwan	"taiwan:local_sync_data.dat:[align = ""center""][font size = ""12"" color= ""f4d762""]系统描述[/font][br][br][font size = ""10"" color= ""f36a7c""]如果错误持续存在，请联系客户服务。(#A)[/font] | lang0:lang0.pak:[align = ""center""][font size = ""12"" color=""f4d762""]System Description[/font][br][br][font size = ""10"" color=""f36a7c""]If the error persists, please contact customer service.(#A)[/font]"
AUTH_INVALID_CJI_KOR_COOKIE	2	2	lang0,taiwan	"taiwan:local_sync_data.dat:[align = ""center""][font size = ""12"" color= ""f4d762""]游戏连接描述[/font][br][br][font size = ""10"" color= ""f36a7c""]输入了无效cookie[/font] | lang0:lang0.pak:[align = ""center""][font size = ""12"" color=""f4d762""]Game Connection Description[/font][br][br][font size = ""10"" color=""f36a7c""]Invalid Cookie was input.[/font]"
AUTH_IP_BLOCK	2	2	lang0,taiwan	"taiwan:local_sync_data.dat:[align = ""center""][font size = ""12"" color=""f4d762""]连接被阻止[/font][br][br][font size = ""10"" color=""f36a7c""]你的IP被阻止了[/font] | lang0:lang0.pak:[align = ""center""][font size = ""12"" color=""f4d762""]Connection Blocked[/font][br][br][font size = ""10"" color=""f36a7c""]Your IP is blocked[/font]"
