line	file	id	source_text	translation	reason	taiwan_refs
31	tbl1.pak	*	Krillin	克林	same_source_translation_in_taiwan_rdf	table_text_all_data.rdf:5:44982101:0
48	tbl1.pak	*	Sun Steel	太阳钢	translation_in_taiwan_item_tables	table_text_all_data.rdf:3:29830050:0
51	tbl1.pak	*	Fajita	肥吉塔	same_source_translation_in_taiwan_rdf	table_text_all_data.rdf:6:1211301:0
246	tbl0.pak	0x017F7BF4	Broly Egg	布罗利蛋	translation_in_taiwan_item_tables	table_text_all_data.rdf:3:60000800:0
252	tbl0.pak	0x017F8034	Mr Popo Pet	波波先生宠物	translation_in_taiwan_item_tables	table_text_all_data.rdf:3:60000880:0
260	tbl0.pak	0x0127565D	Tanjiro Hair	炭治郎发型	same_source_translation_in_taiwan_rdf	table_text_all_data.rdf:3:99199977:0
261	tbl0.pak	0x012757D9	Lucy Hair	露西发型	same_source_translation_in_taiwan_rdf	table_text_all_data.rdf:3:7000213:0
262	tbl0.pak	0x01275955	Erza Hair	艾露莎发型	same_source_translation_in_taiwan_rdf	table_text_all_data.rdf:3:7000214:0
311	tbl0.pak	0x01397DF1	Warrior	那美克战士	translation_in_taiwan_item_tables	table_text_all_data.rdf:3:111703240:0
315	tbl0.pak	0x0139972D	Warrior	那美克战士	translation_in_taiwan_item_tables	table_text_all_data.rdf:3:111703240:0
456	tbl1.pak	0x016C33A4	Scouter	探测器	translation_in_taiwan_item_tables	table_text_all_data.rdf:12:1630:0
546	tbl1.pak	0x016CA1B4	Saiyan	赛亚人	same_source_translation_in_taiwan_rdf	table_text_all_data.rdf:4:6001517:0
622	tbl1.pak	0x0172DC54	Sky Dungeon 1	天空副本1	same_source_translation_in_taiwan_rdf	table_text_all_data.rdf:6:3701222:0
623	tbl1.pak	0x0172DC74	Sky Dungeon 2	天空副本2	same_source_translation_in_taiwan_rdf	table_text_all_data.rdf:6:3701223:0
624	tbl1.pak	0x0172DC94	Sky Dungeon 3	天空副本3	same_source_translation_in_taiwan_rdf	table_text_all_data.rdf:6:3701224:0
735	tbl1.pak	0x0181EACA	Lizard Meat	蜥蜴肉	translation_in_taiwan_item_tables	table_text_all_data.rdf:12:16:0;table_text_all_data.rdf:3:29670030:0
