# key	source_text	translation
# 只写确认来自 DBOZero\pack\lang0.pak 的明面文本。
# translation 会按 GBK/CP936 写入 lang0.pak 的 value bytes。
DST_ITEM_GRADE_MYTHIC	Hakai	破坏
DST_EQUIP_SLOT_TYPE_DOGI	Dogi	时装
DST_LOBBY_CHARACTER_MAKE	New Character	创建新角色
DST_ITEM_GRADE_HERO	Divine	神圣
DST_ITEMLIST_ITEMNAME	Name: %s	名称: %s
DST_STATUS_STAT_CON	CON	耐
DST_STATUS_STAT_DEX	DEX	敏
DST_STATUS_STAT_ENG	ENG	运
DST_STATUS_STAT_FOC	FOC	集
DST_STATUS_STAT_SOL	SOL	气
DST_STATUS_STAT_STR	STR	力
DST_STATUS_AP	P.Level	战斗力
DST_STATUS_ATTACK	Attack	攻击
DST_STATUS_ATTACK_RATE	Hit Rate	命中率
DST_STATUS_ATTR	Attr	属性
DST_STATUS_JOB	Class	职业
DST_STATUS_LEVEL	Level	等级
DST_STATUS_RESETS	Resets	转生
DST_STATUS_NAME	Name	名称
DST_LOBBY_ZENNY	Bank	金额
DST_LOGIN	Start	登录
DST_LOGIN_CONTRACT	Contract	合同
DST_LOGIN_CREDIT	Credit	信用
DST_LOGIN_ID	User	账号
DST_LOGIN_NEW_ACCOUNT	Game Policies	游戏政策
DST_LOGIN_PASSWARD	Pass	密码
DST_LOGIN_PLAY_MOVIE	Film	影片
DST_SIDEICON_HINT_FRIEND_TEXT	%s has logged in.	%s 已登录
DST_NOTIFY_GET_BUFF	Received Buff: %s	获得增益: %s
DST_CRANE_ROSHI	Crane Hermit	鹤仙流
DST_TURTLE_ROSHI	Turtle Hermit	龟仙流
DST_STATUS_WINDOW_TITLE	Character Status	角色状态
DST_ITEM_CAN_EQUIP	Class: %s	职业:%s
DST_ITEM_EQUIP_SLOT_TEXT	Slot: %s	部位: %s
DST_ITEM_GRADE_NORMAL	Normal	普通
DST_ITEM_GRADE_RARE	Rare	稀有
DST_ITEM_GRADE_EXCELLENT	Excellent	特级
DST_ITEM_GRADE_LEGENDARY	Legendary	传说
DST_ITEM_PHYSICAL_DEFENCE	Physical Def: %5d	物理防御力: %5d
DST_ITEM_PHYSICAL_OFFENCE	Physical Atk: %5d	物理攻击力: %5d
DST_PET_STATUS_ENERGY_DEFENSE	Energy Defense	气功防御力
DST_PET_STATUS_ENERGY_OFFENSE	Energy Attack	气功攻击力
DST_PET_STATUS_PHYSICAL_DEFENSE	Physical Defense	物理防御力
DST_STATUS_ENERGY_ATTACK	Energy Atk.	气功攻击
DST_STATUS_ENERGY_CRITICAL	Crit. Energy	气功暴击
DST_STATUS_ENERGY_DEFENCE	E. Defense.	气功防御
DST_STATUS_PHYSICAL_ATTACK	Physical Atk.	物理攻击
DST_STATUS_PHYSICAL_CRITICAL	Crit. Physical	物理暴击
DST_STATUS_PHYSICAL_DEFENCE	P. Defense.	物理防御
DST_ITEM_ATTACK_RANGE	Attack Range: %5d	攻击范围: %5d
DST_ITEM_ATTACK_SPEED	Attack Speed: %4d	攻击速度: %4d
DST_ITEM_ATTR_INFO	Element: %s	属性: %s
DST_LOBBY_CHARACTER_ATTRIBUTE	Attributes	属性
DST_LOBBY_CHARACTER_LIST	Characters	角色
DST_LOBBY_CHAR_CLASS	Class	职业
DST_LOBBY_CHAR_LEVEL	Level	等级
DST_LOBBY_CHAR_RESETS	Resets	转生
DST_LOBBY_CHOICE_CHANNEL	Channels	频道
DST_LOBBY_CHOICE_SERVER	Change Server	更换服务器
DST_LOBBY_CLASS	Class	职业
DST_ITEM_ENERGY_DEFENCE	Energy Def: %5d	气功防御力: %5d
DST_ITEM_ENERGY_OFFENCE	Energy Atk: %5d	气功攻击力: %5d
DST_ITEM_LIMITED_SELL	No-Sale	不可售
DST_ITEM_LIMITED_STORE_COMMON_WAREHOUSE	No-Bank	禁仓库
DST_ITEM_LIMITED_STORE_GUILD_WAREHOUSE	No-Bank	禁公仓
DST_ITEM_LIMITED_STORE_WAREHOUSE	No-Bank	禁仓库
DST_ITEM_LIMITED_USER_TRADE	No-Trade	不可交易
DST_TODAT_TIP	Today's Tips	今日小贴士
DST_ITEM_ALL_GENDER	All genders	所有性别
DST_ITEM_ALL_RACE	All Classes	所有职业
DST_MOB_TYPE_MAJIN	Majin	魔人
DST_MOB_TYPE_NAMEC	Namek	那美
DST_MOB_TYPE_HUMAN	Human	人类
DST_REVERTED_EQUIP	Binds	绑定
DST_REVERTED_GENERAL	Binds	绑定
DST_REVERTED_USE	Binds	绑定
DST_REVERTED_ACTIVATE	(Activate)	(活动)
DST_LOBBY_EXIT	Exit	退出
DST_LOBBY_FACE	Face	面部
DST_LOBBY_GAME_START	Start	开始
DST_LOBBY_GENDER	Gender	性别
DST_LOBBY_HAIR	Hair	发型
DST_LOBBY_HAIRCOLOR	Hair Color	发色
DST_EQUIP_SLOT_TYPE_FULLBODY	Transform	幻化
DST_EQUIP_SLOT_TYPE_EARRING	Earring	耳环
DST_EQUIP_SLOT_TYPE_HAIR	Hair	发型
DST_EQUIP_SLOT_TYPE_HAND	Weapon	主武器
DST_EQUIP_SLOT_TYPE_JACKET	Jacket	上衣
DST_EQUIP_SLOT_TYPE_NECKLACE	Necklace	项链
DST_EQUIP_SLOT_TYPE_PANTS	Pants	裤子
DST_EQUIP_SLOT_TYPE_QUEST	Quest	任务
DST_EQUIP_SLOT_TYPE_RING	Ring	戒指
DST_EQUIP_SLOT_TYPE_SOUL	Soul	灵魂
DST_EQUIP_SLOT_TYPE_SCOUTER	Scouter	史考特
DST_EQUIP_SLOT_TYPE_SUB_WEAPON	Sub Weapon	副武器
DST_EQUIP_SLOT_TYPE_SUB_WEAPONTRASMOG	Transmog Weapon	幻化武器
DST_EQUIP_SLOT_TYPE_TAIL	Acessory 4 - Tail	配件 4 - 尾巴
DST_EQUIP_SLOT_TYPE_ACCESSORY1	Accessory 1 - Mask	配件 1 - 面具
DST_EQUIP_SLOT_TYPE_ACCESSORY2	Accessory 2 - Richness	配件 2 - 光环
DST_EQUIP_SLOT_TYPE_ACCESSORY3	Accessory 3 - Backpack	配件 3 - 背饰
DST_EQUIP_SLOT_TAIL	Accessory 4 - Tail	配件 4 - 尾巴
DST_EQUIP_SLOT_TYPE_BOOTS	Shoes	鞋子
DST_STATUS_DODGE	Dodge	闪避
DST_STATUS_TAB_AVATAR	Character	角色
DST_STATUS_TAB_FAMILY	Fame	声望
DST_STATUS_TAB_SUMMON	Pet	宠
DST_STATUS_TECHNIC_TITLE	Craft	工艺
DST_STATUS_TAB_MOREINFO	Status	状态
DST_LOBBY_POSITION	Location	位置
DST_LOBBY_CHANNEL	Channel:	频道:
DST_LOBBY_OK	Ok	OK
DST_LOBBY_CANCLE	Cancel	取消
DST_LOBBY_CANCLE2	Cancel	取消
DST_LOBBY_SERVER	Server	服务器
DST_LOBBY_SERVER_BUSY	Busy	繁忙
DST_LOBBY_SERVER_CHECK	Offline	离线
DST_LOBBY_SERVER_EXCESS	Full	已满
DST_LOBBY_SERVER_INFO	Server	服务器
DST_LOBBY_SERVER_LOCK	Locked	锁定
DST_LOBBY_SERVER_NAME	Server	服务器
DST_LOBBY_SERVER_NORMAL	Normal	正常
