conflict_type	key_or_source_text	source_hash	rows	translation_variants	locations
same_source_text	Receive items and Zeni from eligible mail (up to 6 per use, 15s cooldown).	f3ab123119b0	2	从符合条件的邮件领取物品和索尼(每次最多6封，冷却15秒)。 | 从符合条件的邮件领取道具和索尼（每次最多6封，冷却15秒）。	taiwan:local_data.dat:DST_MAILSYSTEM_TOOLTIP_RECEIVE_ALL:legacy/translations/overrides.tsv:112 | lang0:lang0.pak:DST_MAILSYSTEM_TOOLTIP_RECEIVE_ALL:legacy/translations/lang0_overrides.tsv:822
same_source_text	Accessory 2 - Richness	743ac3dc0393	2	配件 2 - 光环 | 饰品2 - 富饶	taiwan:local_data.dat:DST_EQUIP_SLOT_TYPE_ACCESSORY2:legacy/translations/overrides.tsv:153 | lang0:lang0.pak:DST_EQUIP_SLOT_TYPE_ACCESSORY2:legacy/translations/lang0_overrides.tsv:102
same_source_text	%s Zeni	d89500f73efb	2	%s 索 | %s索尼	taiwan:local_data.dat:DST_DROPITEM_ZENNY:legacy/translations/overrides.tsv:154 | lang0:lang0.pak:DST_INFOWINDOW_ZENNY:legacy/translations/lang0_overrides.tsv:282
same_source_text	Party Only	58d840480dff	2	仅队伍 | 组队专用	taiwan:local_data.dat:DST_OPTION_PERF_PLAYER_FILTER_PARTY:legacy/translations/overrides.tsv:156 | lang0:lang0.pak:DST_OPTION_PERF_PLAYER_FILTER_PARTY:legacy/translations/lang0_overrides.tsv:476
same_source_text	Weapon	ead533685e26	3	主武器 | 武器	taiwan:local_data.dat:DST_EQUIP_SLOT_TYPE_HAND:legacy/translations/overrides.tsv:163 | lang0:lang0.pak:DST_EQUIP_SLOT_TYPE_HAND:legacy/translations/lang0_overrides.tsv:90 | lang0:lang0.pak:DST_MARKET_WEAPON:legacy/translations/lang0_overrides.tsv:713
same_source_text	Scouter	8bcb090d6225	4	史考特 | 探测器	taiwan:local_data.dat:DST_EQUIP_SLOT_TYPE_SCOUTER:legacy/translations/overrides.tsv:164 | lang0:lang0.pak:DST_EQUIP_SLOT_TYPE_SCOUTER:legacy/translations/lang0_overrides.tsv:97 | lang0:lang0.pak:DST_OPTION_CONTROL_ACTION_WINDOW_SCOUTER:legacy/translations/lang0_overrides.tsv:392 | lang0:lang0.pak:DST_MARKET_SCOUTER:legacy/translations/lang0_overrides.tsv:689
same_source_text	Namek	fa4790545002	4	那美 | 那美克	taiwan:table_text_all_data.rdf:4:6001515:0:legacy/translations/overrides.tsv:254 | lang0:lang0.pak:DST_MOB_TYPE_NAMEC:legacy/translations/lang0_overrides.tsv:75 | lang0:lang0.pak:DST_NAMEK:legacy/translations/lang0_overrides.tsv:134 | lang0:lang0.pak:DST_NAMEK:legacy/translations/lang0_overrides.tsv:619
same_source_text	@	9a78211436f6	2	命中率 | 回避率	taiwan:local_data.dat:DST_STATUS_TOOLTIP_ATTACK_RATING:legacy/translations/overrides.tsv:267 | taiwan:local_data.dat:DST_STATUS_TOOLTIP_DODGE_RATING:legacy/translations/overrides.tsv:268
same_source_text	Start	952f375412e8	2	开始 | 登录	lang0:lang0.pak:DST_LOGIN:legacy/translations/lang0_overrides.tsv:24 | lang0:lang0.pak:DST_LOBBY_GAME_START:legacy/translations/lang0_overrides.tsv:83
same_source_text	Normal	45e118d0563e	6	普通 | 正常	lang0:lang0.pak:DST_ITEM_GRADE_NORMAL:legacy/translations/lang0_overrides.tsv:38 | lang0:lang0.pak:DST_LOBBY_SERVER_NORMAL:legacy/translations/lang0_overrides.tsv:124 | lang0:lang0.pak:DST_OPTION_CHATTING_ADDED_NORMAL:legacy/translations/lang0_overrides.tsv:299 | lang0:lang0.pak:DST_OPTION_CHATTING_BASIC_NORMAL:legacy/translations/lang0_overrides.tsv:307 | lang0:lang0.pak:DST_OPTION_DROPFILTER_NORMAL:legacy/translations/lang0_overrides.tsv:416 | lang0:lang0.pak:DST_MARKET_NORMALTYPE:legacy/translations/lang0_overrides.tsv:676
